tanggal,deskripsi,jumlah,tipe,kategori,id
2025-04-29,top up gopay,282000,Pengeluaran,Tagihan,
2025-04-29,naik bus trans,21000,Pengeluaran,Transport,
2025-04-29,beli tas ransel,125000,Pengeluaran,Belanja,
2025-04-29,jajan gorengan,12000,Pengeluaran,Makan,
2025-04-29,beli jurnal ilmiah,69000,Pengeluaran,Pendidikan,
2025-04-29,beli komik,184000,Pengeluaran,Hiburan,
2025-04-30,beli sate,40000,Pengeluaran,Makan,
2025-04-30,naik bus trans,20000,Pengeluaran,Transport,
2025-04-30,beli kuota internet belajar,207000,Pengeluaran,Pendidikan,
2025-04-30,beli ayam geprek,17000,Pengeluaran,Makan,
2025-04-30,beli celana jeans,284000,Pengeluaran,Belanja,
2025-05-01,isi bensin pertalite,76000,Pengeluaran,Transport,
2025-05-01,beli alat mandi,169000,Pengeluaran,Belanja,
2025-05-01,naik bus trans,72000,Pengeluaran,Transport,
2025-05-01,grab car ke stasiun,14000,Pengeluaran,Transport,
2025-05-01,beli earphone,390000,Pengeluaran,Belanja,
2025-05-01,beli bubble tea,28000,Pengeluaran,Makan,
2025-05-01,bayar parkir motor,44000,Pengeluaran,Transport,
2025-05-02,beli shampo,302000,Pengeluaran,Belanja,
2025-05-02,beli tas ransel,222000,Pengeluaran,Belanja,
2025-05-02,beli baju di shopee,356000,Pengeluaran,Belanja,
2025-05-02,beli jus buah,29000,Pengeluaran,Makan,
2025-05-02,beli pecel lele,33000,Pengeluaran,Makan,
2025-05-03,beli alat mandi,366000,Pengeluaran,Belanja,
2025-05-03,isi saldo e-money,360000,Pengeluaran,Tagihan,
2025-05-03,naik angkot,29000,Pengeluaran,Transport,
2025-05-03,bayar kartu pelajar,774000,Pengeluaran,Tagihan,
2025-05-03,beli indomie,41000,Pengeluaran,Makan,
2025-05-03,isi bensin pertamax,62000,Pengeluaran,Transport,
2025-05-03,bayar cicilan hp,748000,Pengeluaran,Tagihan,
2025-05-04,beli sate,42000,Pengeluaran,Makan,
2025-05-04,bayar kartu pelajar,179000,Pengeluaran,Tagihan,
2025-05-04,bayar kartu pelajar,181000,Pengeluaran,Tagihan,
2025-05-04,beli mie ayam,9000,Pengeluaran,Makan,
2025-05-04,beli masker kesehatan,52000,Pengeluaran,Kesehatan,
2025-05-04,bayar kos bulanan,436000,Pengeluaran,Tagihan,
2025-05-04,bayar wifi indihome,554000,Pengeluaran,Tagihan,
2025-05-04,beli obat flu di apotek,169000,Pengeluaran,Kesehatan,
2025-05-04,makan siang warteg,28000,Pengeluaran,Makan,
2025-05-04,naik gojek ke kampus,42000,Pengeluaran,Transport,
2025-05-05,makan di warteg,34000,Pengeluaran,Makan,
2025-05-05,grab motor ke mall,57000,Pengeluaran,Transport,
2025-05-05,naik ojek online,40000,Pengeluaran,Transport,
2025-05-05,transfer dari orang tua,1750000,Pemasukan,Pemasukan,
2025-05-05,beli martabak,39000,Pengeluaran,Makan,
2025-05-05,beli ayam geprek,30000,Pengeluaran,Makan,
2025-05-05,beli tinta printer,473000,Pengeluaran,Pendidikan,
2025-05-06,makan malam warung,32000,Pengeluaran,Makan,
2025-05-06,beli charger laptop,183000,Pengeluaran,Belanja,
